,0
0,103
1,47
2,96
3,0
4,226
5,21
6,14
7,59
8,139
9,80
10,9
11,34
12,4
13,79
14,62
15,95
16,30
17,60
18,0
19,0
20,2
21,106
22,16
23,29
24,2
25,34
26,8
27,0
28,61
29,0
30,203
31,15
32,41
33,1
34,3
35,0
36,91
37,10
38,76
39,112
40,10
41,3
42,177
43,50
44,20
45,28
46,0
47,0
48,9
49,98
