,0
0,35
1,73
2,16
3,74
4,41
5,168
6,23
7,108
8,28
9,100
10,41
11,50
12,20
13,35
14,135
15,48
16,20
17,51
18,75
19,37
20,86
21,132
22,58
23,170
24,15
25,137
26,8
27,11
28,58
29,78
30,67
31,74
32,11
33,105
34,68
35,34
36,201
37,0
38,26
39,151
40,171
41,47
42,162
43,66
44,111
45,0
46,160
47,29
48,62
49,215
