,0
0,47
1,6
2,46
3,62
4,94
5,56
6,45
7,0
8,199
9,2
10,23
11,1
12,26
13,60
14,135
15,34
16,0
17,10
18,49
19,3
20,5
21,101
22,12
23,50
24,29
25,132
26,33
27,36
28,35
29,38
30,8
31,81
32,155
33,66
34,135
35,12
36,31
37,3
38,21
39,34
40,45
41,34
42,31
43,139
44,127
45,30
46,36
47,46
48,0
49,121
