,0
0,83
1,112
2,44
3,93
4,177
5,88
6,22
7,28
8,1
9,162
10,118
11,40
12,47
13,0
14,63
15,28
16,26
17,40
18,105
19,63
20,75
21,163
22,38
23,18
24,133
25,65
26,31
27,16
28,16
29,9
30,23
31,66
32,53
33,11
34,88
35,19
36,47
37,63
38,63
39,142
40,35
41,1
42,34
43,126
44,27
45,51
46,172
47,44
48,3
49,0
