,0
0,17
1,17
2,22
3,100
4,5
5,16
6,114
7,91
8,152
9,12
10,91
11,0
12,153
13,35
14,23
15,11
16,143
17,33
18,19
19,45
20,67
21,2
22,95
23,8
24,66
25,18
26,48
27,0
28,232
29,32
30,18
31,0
32,116
33,2
34,0
35,1
36,24
37,2
38,11
39,23
40,66
41,33
42,50
43,47
44,0
45,0
46,61
47,162
48,101
49,199
