,0
0,75
1,73
2,0
3,81
4,48
5,168
6,23
7,120
8,12
9,121
10,23
11,74
12,20
13,34
14,135
15,48
16,20
17,11
18,87
19,42
20,77
21,122
22,58
23,170
24,15
25,32
26,75
27,4
28,15
29,78
30,31
31,69
32,11
33,105
34,68
35,35
36,187
37,0
38,26
39,130
40,170
41,53
42,95
43,69
44,88
45,0
46,145
47,40
48,62
49,221
