,0
0,17
1,14
2,17
3,20
4,2
5,18
6,131
7,89
8,141
9,18
10,91
11,0
12,0
13,35
14,135
15,11
16,158
17,15
18,61
19,37
20,65
21,2
22,71
23,60
24,85
25,18
26,4
27,0
28,6
29,32
30,15
31,0
32,93
33,2
34,0
35,0
36,29
37,8
38,13
39,39
40,67
41,33
42,50
43,44
44,0
45,0
46,7
47,164
48,102
49,197
