,0
0,47
1,6
2,51
3,59
4,91
5,60
6,57
7,0
8,39
9,21
10,30
11,0
12,46
13,111
14,150
15,30
16,0
17,10
18,50
19,0
20,36
21,113
22,27
23,61
24,23
25,131
26,24
27,37
28,41
29,37
30,13
31,79
32,160
33,80
34,139
35,12
36,34
37,3
38,21
39,95
40,45
41,34
42,31
43,127
44,54
45,64
46,53
47,44
48,0
49,125
