,0
0,103
1,52
2,76
3,0
4,227
5,36
6,13
7,54
8,140
9,64
10,13
11,42
12,21
13,77
14,72
15,106
16,30
17,62
18,0
19,0
20,13
21,106
22,105
23,3
24,2
25,34
26,0
27,0
28,1
29,0
30,176
31,17
32,41
33,1
34,4
35,0
36,1
37,9
38,63
39,109
40,103
41,3
42,176
43,11
44,20
45,246
46,0
47,0
48,33
49,77
